Company Name,First Name,Last Name,Title,Person Linkedin Url,tag
WeedBudz,Ry,Russell,Host / Executive Producer / On-Air Talent,http://www.linkedin.com/in/russellry,marketing_content_partnership
Grow House Media,Liz,Grow,CEO & Co-Founder,http://www.linkedin.com/in/lizgrow,marketing_content_partnership
MJ Venture,Patrick,Wagner,Senior Editor,http://www.linkedin.com/in/patrick-wagner-a929b085,marketing_content_partnership
Cannabis Talk 101,Joe,Grande,Program Director / Podcast Host,http://www.linkedin.com/in/joegrande,marketing_content_partnership
Highly Capitalized,Andy,Kovtun,Content Marketing Director,http://www.linkedin.com/in/andy-kovtun,marketing_content_partnership
Fat Nugs Magazine,Dustin,Hoxworth,Creator & Editor-At-Large,http://www.linkedin.com/in/dustinhoxworth,marketing_content_partnership
Greenway Media,William,Crook,Founder/Developer,http://www.linkedin.com/in/williamgc,marketing_content_partnership
"Jage Media, Inc.",Kim,Jage,Co-Founder & CMO,http://www.linkedin.com/in/sal-vassallo,marketing_content_partnership
Cannabis Business Times,Noelle,Skodzinski,Co-founder/Editor,http://www.linkedin.com/in/nskodzinski,marketing_content_partnership
Hemp Connoisseur Magazine,David,Maddalena,"Founder, Publisher, News Director",http://www.linkedin.com/in/davemaddalena,marketing_content_partnership
Salt Lake City Weekly,Cole,Fullmer,Cannabis Editor,http://www.linkedin.com/in/colefullmer,marketing_content_partnership
Herb,Robert,Vecchio,Co-Founder & CEO,http://www.linkedin.com/in/robert-vecchio-a1161016,marketing_content_partnership
Fat Nugs Magazine,Jessica,Reilly-Chevalier,Editor,http://www.linkedin.com/in/jessica-reilly-writer,marketing_content_partnership
Cannabis Now,Maria,Wyllie,Director of Brand Partnerships // Senior Editor,http://www.linkedin.com/in/mariawyllie,marketing_content_partnership
Food and Beverage Magazine,Michael,Politz,Publisher / Founder,http://www.linkedin.com/in/politz,marketing_content_partnership
Leafly,Anna,Elliott,Senior Content Editor,http://www.linkedin.com/in/anna-elliott-b5671987,marketing_content_partnership
MedicateOH & MedicateKY,Gabrielle,Dion,Founder and Publisher,http://www.linkedin.com/in/gabrielledion,marketing_content_partnership
Decoding Bio,Mikaela,Kimpton,COO & Editor,http://www.linkedin.com/in/mikaela-kimpton,marketing_content_partnership
Cannabis Now,Michael,Rosenfeld,"Director, Marketing and Partnerships",http://www.linkedin.com/in/michaelrosenfeld,marketing_content_partnership
BevNET.com,Adrianne,Deluca,Assistant Managing Editor - Newsletters,http://www.linkedin.com/in/adriannedeluca,marketing_content_partnership
Svn Space,Monica,Campana,Founder & Director of Brand Partnerships,http://www.linkedin.com/in/monica-campana-1a3607172,marketing_content_partnership
Broccoli,Jessica,Gray,Partnerships Director,http://www.linkedin.com/in/grayjessica,marketing_content_partnership
BevNET.com,Martin,Caballero,Managing Editor,http://www.linkedin.com/in/mcaballero1,marketing_content_partnership
Honeysuckle Media,Jaime,Lubin,Editor At Large,http://www.linkedin.com/in/jaime-lubin-b5609935,marketing_content_partnership
Chronogram Media,Jan,Dewey,Publisher,http://www.linkedin.com/in/jan-dewey-83396334,marketing_content_partnership
Psychedelics for Climate Action (PSYCA),Marissa,Feinberg,Founder,http://www.linkedin.com/in/marissafeinberg,marketing_content_partnership
Project CBD,Martin,Lee,Co-Founder & Director,http://www.linkedin.com/in/martin-a-lee,marketing_content_partnership
Cannabis Marketing Podcast (DailyStory),Rob,Howard,Founder & Host,https://www.linkedin.com/in/robmhoward/,marketing_content_partnership
Cannabis Marketing Live (MediaJel),Jake,Litke,"CEO, and host of Cannabis Marketing Live",https://www.linkedin.com/in/jlitke/,marketing_content_partnership
Cannabis Marketing Live (MediaJel),Sadie,Reyes,President — corporate operations,https://www.linkedin.com/in/sadiereyes/,marketing_content_partnership
Cannabis Marketing Live (MediaJel),JENNY,SHI,"VP, Media Strategy & Operations",https://www.linkedin.com/in/jennyrshi/,marketing_content_partnership
Cannabis Marketing Live (MediaJel),Cortney,Brown,Chief Marketing Officer,https://www.linkedin.com/in/cortney-e-brown/,marketing_content_partnership
The Green Repeal (SoHo Experiential),Rick,Kiley,"Co-Founder, Managing Partner, Podcast Co-Host",https://www.linkedin.com/in/rickkiley/,marketing_content_partnership
The Green Repeal (SoHo Experiential),Jeff,Boedges,"Co-Founder, Managing Partner, Podcast Co-Host",https://www.linkedin.com/in/jeff-boedges-3b64b25/,marketing_content_partnership
The Green Repeal (SoHo Experiential),Matt,Kabel,President,https://www.linkedin.com/in/matt-kabel-9204124/,marketing_content_partnership
The Green Repeal (SoHo Experiential),Katie,Hansen,"VP, Production",https://www.linkedin.com/in/katie-hansen-94705512/,marketing_content_partnership
The Green Repeal (SoHo Experiential),Anne,Holliday-Woodard,Director of Strategic Growth,https://www.linkedin.com/in/anne-holliday-woodard-b6403b6/,marketing_content_partnership
The Green Repeal (SoHo Experiential),John,Millward,"Partner, Chief Creative & Growth Officer",https://www.linkedin.com/in/john-millward-90b8368/,marketing_content_partnership
MJBizDaily,Darcel,Duncan,Group Director of Content & Editorial,https://www.linkedin.com/in/darcel-duncan/?skipRedirect=true,marketing_content_partnership
MJBizDaily,Melody,Brown,Group Vice President of Editorial,https://www.linkedin.com/in/melody-brown-77983717b/?skipRedirect=true,marketing_content_partnership
MJBizDaily,Karalynn,Sprouse,Executive Vice President,https://www.linkedin.com/in/karalynn-sprouse-a48a66/?skipRedirect=true,marketing_content_partnership
MJBizDaily,Harrison,Radie,"Vice President, Sales & Partnerships",https://www.linkedin.com/in/harris-radie/?skipRedirect=true,marketing_content_partnership
MJBizDaily,Chris,Roberts,Executive Editor,https://www.linkedin.com/in/chris-roberts-147b816/?skipRedirect=true,marketing_content_partnership
MJBizDaily,Chris,Olson,Lead Conference Content Programmer,https://www.linkedin.com/in/chris-olson-28b98a24/?skipRedirect=true,marketing_content_partnership
Ganjapreneur,Noel,Abbott,Staff writer,https://www.linkedin.com/in/noelabbott,marketing_content_partnership
Cannabis Business Times (GIE Media),Noelle,Skodzinski,"Editorial Director, Cannabis Group & Co-Founder of CBT",https://www.linkedin.com/in/nskodzinski/,marketing_content_partnership
