"contactId","warmOppCount","soOppCount","warmOppIds","soOppIds","company"
"czsY4Jn6RPIsK5RZ2F2F","1","1","ldefWx3C5zP1eQWPzD3i","kgokmLqJjQWXs18wmRXP","American Extractions"
"4hCrsfpeG97LNvNPGfY2","1","1","rvnNARkMr4B3AcDByYv9","Hne3LyzarVL2POpwjE2L","Lab Link Testing"
"Lsw8IR4SML6OHNoifW9O","1","1","tURcd0BEQz7XQCTgm6Jx","oYmXV9EjzwjMuyoCEp3X","True North Cannabis Co"
"z4XArdw1HTZADnMN6pae","1","1","sftxgkaz33P2RPtldgha","KRZIvPW61PXQBZtdT50D","Columbia Care"
"GtA6zXyU6Z6XIXDPVmYm","1","1","e202G1aE1gllt50UlsWt","5Z7YwBtmguLX2xLvj75j","Cannabist"
"JZHBKfc9byL6OTPxGjkF","1","1","8GV5BpxLFTFPGqOHH8TG","jCYYfQTK1fQ2CrvhWMDC","TerrAscend"
"eHdHXbO0PMgeXZ2MJvKl","1","1","czdxQcTPKOXd7WnEGLhK","FblIyhTXVVnlNNkyjILz","Peak Processing Solutions"
"JMYjT4i0JuKgbAqI3SXo","1","1","EqwouMGG31czOpClLhBS","Q0f7hRFdyWrJDm4o09If","AYR Wellness"
"PxaqcvNzQcOWGy7iQoon","1","1","lyfevuSVJrgMjCFOjzAa","TNUAd0vV5lane089hcE6","Living Soil Farms LLC"
"ovBTg4lHz9peLC7cBHbC","1","1","fqQgOtVe11MBxES7SZYZ","0LM1t5e3dxNRmCH8zJnp","Sweetspot"
"Cj2ERD4vJVjcUBUaXIS8","1","1","dfrWKngSu2XJgrEBOVCl","L8Pnz63aP54KV1V8USvB","Mera Cannabis Corp"
"qtLFbvZjCgF5vGx9BMPJ","1","1","gtTMuwwByy7UXCQ4FPm4","1qioWSeiVammkaFX7rQF","SNDL Inc."
"GmgdW5yDcEUBCg9uaQal","1","1","2LLM1AV5dow7ouvBIj2B","OTjiQcdxFONP7Ts1FNkG","Good Day Farm"
"pS4T2Q8xbS8IVdaYT7VI","1","1","D07c1z3rKqcyslf4PWOd","5SycO58rmDb4SjkwttFp","Rubicon Organics"
"FosJPLzhh9xtCOvH7RKB","1","1","wBzsyPfcqXwqvaFmETn1","EQaw8tHNuNOCjMDeNSa7","Stoops NYC Cannabis Dispensary"
"CpKgfYt50syUzmFkH7X8","1","1","PjFUwWps32oixJ6Za1ea","cNveGHvxSheRFkbsHnC7","Dragonfly Brands Inc "
"1MXSjvfGngiFRh3wRaBx","1","1","rsKijZCDLw1zjmCq2xxo","ApMYTcksmryyKAx6GizA","The Heart of Humboldt"
"m5C5u1IBBv34LvhSmsSB","1","1","OSBp8xRPHBd6IUlKQT0l","6A6vUqf3dCXQN1R0VCzz","High Falls Canna NY"
"p6tRatSMFcWtah347g4W","1","1","BD8eApLaL3M5xgYePQ2F","SJs2VU79I3J6TzvbwQR6","Village Farms International"
"KKZbh4zWvkIqPZ5Dvwa1","1","1","MnZ6LPswiqAlR3Ri8SGk","P3ffXOaSb6MfmURq7lPi","SoGanja"
"jp9RUKD1XUEYId83Duzx","1","1","AiQo1UHj9q9VTOTQn0xD","rGFIuFvRbAVjj0paoSNf","Wicked Lettuce"
"KY8S6VB9m3AwjJPQ9Kzu","1","1","mUrKeSx1uFxwu4eIBAUq","8fA9jMBfwUbpaGeDRtYK","HighBridge Premium"
"9Sc3XdqunKOiHo5m1ZEO","1","1","UqXuv0zaEo5ikY2ppOhj","rZCnHUfkEJ9ETRJ54X1z",""
"JNPaYiyJcpEnL0TJGocP","1","1","mVB5qrRvusEy7ITQov3V","NnXtYlO4B3aBGYGH2YAP","Humboldt Seed Company"
"sG2FerxK9xmLHzkjUXBs","1","1","XDSQP9YtpK5C5TkIKQKO","YKc791tGZEW3BTVqHAFn","Cannabist"
"VuilBBOqqUyKXQsL9bw0","1","1","xqx5LEVMgZJRuL7D1nue","kzd6FB4x9uSm88Kn90g5","Bud Mafia Inc"
"EXajZ5rJad72pJaUu4Z5","1","1","aCgbDdMCaHcz3ypFPwxw","HiQQPY9ekhit247ZfDjD","Green Thumb Industries"
"hQHqbFugghGBmsQipRSt","1","1","uVBcc1K4KB3IGqbIAIWs","M62rBxgrgp8JxX7sIYP2","The Pharm, LLC"
"S5YDEvgqlP3GiSUqzczd","1","1","gUJ03e4jMklxzQm5EeRY","4IwHF5F4Dv349CoHoW1T",""
"pxhdr0xzU4tWuFl8w6LA","1","1","ajTyzuDwX8PV7I8Hs6Sl","GVymFvn67fdCXsIFfR6K","Vertosa"
"qns24cMT8m1m8CrW01oB","1","1","wOYWBWb0NhsvrKDOP0MO","6yQdISdidBmlZpM82YDj","GreenLabs"
"ZWW6poKz0fZBOJ43Fw4B","1","1","A1coZKpFU0aHuA2DxWy3","u9DszPoupw1Nh1q94Hq0","Exclusive Brands"
"Ti5NqVkZS7GGeD8QYKPZ","1","1","n8PeUUj6syhG6Z3rl92a","h5km3ZFRBKyNmkKGUPGr",""
"wqfGKoBP6CYEWxO8RdWv","1","1","MPehEy9YypZPotA2eMtl","SAFjuj01v5lF2RzjIcHS","Trulieve"
"f4wukpwoHpogWR8Qe5QW","1","1","5ovtXiiccG5GQPm8Sktv","3onU3AyMyxCI0JLZCZbf","Tilray Brands "
"SVL3TwL9qHyJtPSxF9gI","1","1","bf7VIPvDQYptCse6PyoE","2Dw7VyrcBk9st4IVtEPt","Vireo Growth Inc."
"RBbaesCQxurX0zRebcvM","1","1","n7kHf0yOpB53EYBxzmGr","iRe1VR2HU3iNyN7tRJZf","Weed Me Inc."
"GU4HsyOXMLuLY4QuPORP","1","1","9GTmejU3EiWQSeXcNQIL","2Z8Hh8beIsXS73Aq5yg7","Smithers"
"3PV61XXoExbo1xtBU8Mh","1","1","NOsg4OsbSeVJ8NAndhKx","4GqSJNmbHaCrpQAQNrrj","Sundial Growers Inc. (SNDL)"
"AncenFR9ElRdlI3yvNIU","1","1","ZpmqKmzD4nqBBFPZoKQD","iQTwT5Uqu92xmNqcUeF4","Vertosa Wellness "
"VSLfYmLmY551B4t5aEeH","1","1","k4hyCEA4QChJ90qbIcij","Uj9VdGOi805icbp0bYau","Cobblestone Brands"
"DApur7bq0SoHdXgNbYXU","1","1","TYzfncKbjK15XuieOeBY","xTVigQZ4idwlH9X2j8yx","Sundial Growers Inc. (SNDL)"
"xsUAF0ADzswCK5jDzqJO","1","1","vUy8aBbnju9YhrV9Xvmb","ue6vj4EETeBn2Lx3qXxy","Columbia Care"
"bCBhcSI24aVJhjQxRyQC","1","1","WCThvlqj82AwIBa6nGqa","tdOHqPzOA122X2SLBjjF","Cannabist Co Holdings, Inc."
"3BUNY8EG441G37jmt760","1","1","4NWnVc6C4sk7ivoXjx6K","ybHxAOMiiPBskkvTv3VZ","Curaleaf Holdings"
"hnf8yT5xqstLiCVGvcjC","1","1","nG69SqPPTqhdpsjZSaXr","bi9km0zz3aJZGXI69toX",""
"EZ3U6Tr765DtC0tNIWRh","1","1","K4GdJL3ykWFpCZe5vMR5","crf8lsPqvwk1j9wqDY83","Curaleaf Dispensary Groton "
"egTsUCfF0FMXm7XFENlu","1","1","8qnayepGtEodI4fFHGkl","LaZVJ4OpELaSgazCn630","Curaleaf"
"4yYlLl94CaZfhR1rRTPt","1","1","MetVSEw8nQvcJQehAvzc","mY7RMFO6H9zSTtpfWqaK","Calyx Peak"
"S7VHUhngeYs9EsElwUZC","1","1","K1K4FtbsIBHTjZr73AGq","a5yvXDteJH2B9X8IBjHZ","Blum Holdings"
"OV7LFmC6h1Wf6gwZFej7","1","1","rkqf9KuRkc8mhg2MmeFb","qNLGAosceUES73J3HNRP","Canopy USA"
"FTxOpY4r9Hu3sAsiq2W6","1","1","pdErkWDcvNjd6tZYkyNC","SIv30qtIxcm9mC18tu94","Curaleaf"
"5Eb5X1y9voO3uh9i0oig","1","1","mhXJMXfShNcYKIiQXFqA","jgQ4m9BcvySyYxIypaKT","Curaleaf"
"WYepkxQrximWdpPhXuBC","1","1","bMKNFfzkUai9SDR6GKCL","kbpwU2Ei7n5D9toQEq5X","Avant Brands Inc. "
"oAhC4Ed71J4cH6tZUTqK","1","1","mSPLtx4BOZid8R8RfPSQ","Xpv1ZccOLNPkK0mbEnf9","Columbia Care"
"S90UmiCOaaq9jggmwBBB","1","1","adefKq8TYbbPjfbnatRw","Xjb3x175hSUyCxwTY6jn","Curaleaf Dispensary Hanover "
"6BNEOCKXFY5THLLKewyR","1","1","TD65MIM4DpEfJ41ovQjS","zfAO8lP01pTxPD6ygSxW","Aurora Cannabis Inc."
"cFVDk13lVNTtW1SWVPyQ","1","1","nv8lTz78eaPbRlTpEyIl","u4HxG9msYrYyPxA4OXRN","Capitol Wellness Solutions"
"MFX7RF8QeWSCDnYwevAl","1","1","xsCcnfZyHVzCHQktJIem","roefWeRsaW7umujFTdmC","Diteba"
"aiWuJhUwVksikSdxK3Mp","1","1","WgexCHzWdYMqZpFSMtsE","KEB8S2XvfpXdSBKYRmkH","CV Sciences, Inc."
"XTEHHdrg39sqZtCUx8i3","1","1","RSHJCHAvFNRLFQ5MMxzt","Zv8cPURQQXlc6pyfBuwV","High Grass Premium "
"QzGjEYa1zKoZZkJyblGe","1","1","Pd3uxpb94i0g0nBMiXzW","aGSetY2AgdRMUTIAfeyd","Accuscience Laboratories"
"JS0BHTfJ4kTBgWFJqZFb","1","1","DwoNLDCMt1a4LK3XFluL","S8kZZr5iMNQcttYdwvKH","The Botanist"
"htzIbUjb6XjPocVW38xv","1","1","oRwS24ImEAyllECeJemZ","MXbz7YHZLQtZvlQnRY4N","Smithers"
"O79RD1p0Yw2qfTOBUPw3","1","1","NMKWO4qPh5XWoQz5yUJz","QmQu4rgH3lbBCGmH0H5F","Connected Cannabis Co"
"NAtFNMkQea1m8xCaWOSt","1","1","tgTiaWPOcGOShFl2DOPF","QM7n5YmHcBWDQPDPr1o1","ILLICIT"
